project_id,account_id,project_name,project_description,user_id,deadline,bill_rate,dept_id,office_id,billed_date,paid_date,due_date,hours_billed,billed_amount,paid_amount
1,100,Boston Red Sox - P&L Database,Profit and Loss Database to actively manage expenses and revenue,8,1/22/22,1000,4,1,3/23/22,3/24/22,4/23/22,1000,1000000,1000000
2,101,Chicago Bulls - Revenue ,Database to see where the revenue streams are coming from,11,8/12/23,600,4,2,,,,,,
3,102,University of Denver - Acceptance,Acceptance rate analysis based on various factors,16,12/28/21,300,4,3,12/20/21,1/27/22,1/20/22,111,33300,30000
4,103,Catch Surf - Employee Database,Employee engagement database to manage productivity,18,11/30/22,500,4,4,12/1/22,11/30/22,1/1/23,100,50000,50000
5,104,Palisades Tahoe - Operations Apps,Ski Resort application to determine operational efficiency,18,3/17/22,300,4,4,3/18/22,3/4/22,4/18/22,200,60000,60000
6,105,Botanical Growers - Distribution Apps,Application database of various distribution routes,18,12/20/22,800,4,4,10/20/22,11/20/22,11/20/22,500,400000,387000
7,106,Olympic Logistics - Inventory Mgmt Tool,Tool to run inventory management analysis,18,1/22/23,500,4,4,,,,,,
8,107,Boston University - SAT Score Database,Determine distribution of SAT scores based on various factors,8,6/19/22,200,4,1,6/20/22,7/22/22,7/20/22,400,80000,80000
9,108,OTIS - Maintaince History App,Application to find common trends within elevator maintenance,8,10/23/22,400,4,1,10/14/22,12/1/22,11/14/22,105,42000,40000
10,109,Gammz Logistics - Distribution Apps,Application to determine most efficient routes for drivers,11,12/2/22,1000,4,2,12/3/22,,1/3/23,230,230000,230000
11,110,Polar - Inventory Mgmt Tool,Tool to run inventory management analysis,8,1/11/23,400,4,1,,,,,,
12,111,Steamboat Springs - Operations Apps,Application for operational efficiency ,16,3/13/22,350,4,3,3/14/22,3/15/22,4/14/22,125,43750,43750
13,112,Rambo Holdings - ERP,Enterprise Resourse Planning application to manage firm,11,7/22/22,400,4,2,7/23/22,8/30/22,8/23/22,111,44400,44400
14,113,Rothman Group - Business Strategy,Business strategy project for scaling operations,8,1/15/23,500,4,1,12/16/22,,1/16/23,100,50000,50000
15,114,Franklin Distribution - Inventory Mgmt Tool,Inventory management tool for distribution tracking,11,12/23/22,600,4,2,12/13/22,,1/13/23,200,120000,120000
16,115,National Grid - Employee Engagement App,Application to track employee engagement,8,8/20/22,700,4,1,8/21/22,9/1/22,9/21/22,500,350000,300000
17,116,Cisco - Operations Apps ,Several applications for operations management ,8,9/2/22,800,4,1,9/3/22,10/3/22,10/3/22,300,240000,240000
18,117,Han Investments - ERP,Enterprise Resourse Planning application to manage firm,18,10/10/22,1000,4,4,10/11/22,11/15/22,11/10/22,200,200000,200000
19,118,Valley Growers - Distribution Apps,Application to determine most efficient routes for drivers,16,2/3/23,1000,4,3,,,,,,
20,119,Boost Media Group - CRM,Customer relationship management application,8,12/5/22,600,4,1,12/6/22,,1/6/23,200,120000,120000
